2026-02-23 16:39:51 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:52 [ERROR]   ❌ [QueueWorker] Erro ao buscar regiões ativas: Connection is closed.
2026-02-23 16:39:53 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:55 [ERROR]   ❌ [QueueWorker] Erro ao buscar regiões ativas: Connection is closed.
2026-02-23 16:39:55 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:56 [ERROR]   ❌ [RedisScan] Erro ao escanear chaves com padrão booking_search:*: Connection is closed.
2026-02-23 16:39:56 [ERROR]   ❌ [RadiusExpansionManager] Erro ao buscar corridas em SEARCHING: Connection is closed.
2026-02-23 16:39:56 [ERROR]   ❌ [DriverPoolMonitor] Erro ao buscar motoristas disponíveis: Connection is closed.
2026-02-23 16:40:07 [INFO]   🐳 Ambiente detectado:
2026-02-23 16:40:08 [ERROR]   Erro no Redis Pool
2026-02-23 16:40:07 [INFO]      Docker: ❌ Não
2026-02-23 16:40:07 [INFO]      Redis Host: localhost
2026-02-23 16:40:07 [INFO]      Redis URL: redis://localhost:6379
2026-02-23 16:40:07 [INFO]   🔧 Configurando Redis: localhost:6379 (com senha)
2026-02-23 16:40:07 [INFO]   🚀 Redis Pool inicializado com configurações otimizadas
2026-02-23 16:40:08 [INFO]   Firebase Admin SDK inicializado
2026-02-23 16:40:08 [INFO]   Firestore conectado
2026-02-23 16:40:08 [INFO]   Realtime Database conectado
2026-02-23 16:40:08 [INFO]   Storage conectado
2026-02-23 16:40:08 [INFO]   Firebase Storage Service inicializado
2026-02-23 16:40:08 [INFO]   Redis conectado para KYC
2026-02-23 16:40:08 [INFO]   Firebase Storage Service inicializado
2026-02-23 16:40:08 [INFO]   Redis conectado para KYC
2026-02-23 16:40:08 [INFO]   ✅ Serviço de histórico de métricas iniciado (salvamento a cada 60 minutos)
2026-02-23 16:40:08 [INFO]   ✅ FCM Service inicializado com sucesso
2026-02-23 16:40:08 [INFO]   Rotas de Places Cache carregadas
2026-02-23 16:40:08 [INFO]   Executando servidor único (cluster desabilitado para evitar Session ID unknown)
2026-02-23 16:40:08 [INFO]   OpenTelemetry inicializado
2026-02-23 16:40:08 [INFO]   Firebase já inicializado
2026-02-23 16:40:08 [INFO]   Firebase inicializado com sucesso
2026-02-23 16:40:08 [INFO]   Registrando rotas...
2026-02-23 16:40:08 [INFO]   Rotas de cache registradas
2026-02-23 16:40:08 [INFO]   Rotas de Autenticação registradas
2026-02-23 16:40:08 [INFO]   Rotas de Autenticação Admin (JWT) registradas
2026-02-23 16:40:08 [INFO]   Rotas KYC registradas
2026-02-23 16:40:08 [INFO]   ℹ️ Usando Tesseract.js para OCR (Google Vision API não configurada)
2026-02-23 16:40:08 [INFO]   Rotas de OCR registradas
2026-02-23 16:40:08 [INFO]   Rotas Dashboard registradas
2026-02-23 16:40:08 [INFO]   Rotas de Métricas registradas
2026-02-23 16:40:08 [INFO]   Rotas de Worker Health registradas
2026-02-23 16:40:08 [INFO]   Rotas Waitlist registradas
2026-02-23 16:40:08 [INFO]   Rotas de Drivers registradas
2026-02-23 16:40:08 [INFO]   Rotas de verificação de status do driver registradas
2026-02-23 16:40:08 [INFO]   Rotas de Conta (Account) registradas
2026-02-23 16:40:08 [INFO]   Rotas de Payment registradas
2026-02-23 16:40:08 [INFO]   Rotas de Woovi registradas
2026-02-23 16:40:08 [INFO]   Rotas de Help registradas
2026-02-23 16:40:08 [INFO]   Rotas de Support registradas
2026-02-23 16:40:08 [INFO]   💬 Support Chat Service inicializado (Redis Pub/Sub + Firestore ao encerrar)
2026-02-23 16:40:08 [INFO]   Rotas de Support (completo) registradas com WebSocket
2026-02-23 16:40:08 [INFO]   Rotas de KYC Onboarding registradas
2026-02-23 16:40:08 [INFO]   Rotas de Alertas registradas
2026-02-23 16:40:08 [WARN]   Redis não está acessível
2026-02-23 16:40:08 [INFO]   Rotas de Health Check registradas
2026-02-23 16:40:08 [WARN]   Redis Pool fechado, tentando reconectar
2026-02-23 16:40:08 [INFO]   Rotas de App Info registradas
2026-02-23 16:40:08 [INFO]   Rotas de Notificações registradas
2026-02-23 16:40:08 [INFO]   Rotas de Monitoramento de Filas registradas
2026-02-23 16:40:08 [INFO]   Rotas de Places Cache registradas
2026-02-23 16:40:08 [INFO]   🚀 [RadiusExpansionManager] Monitoramento iniciado (verifica a cada 10s)
2026-02-23 16:40:08 [INFO]   RadiusExpansionManager iniciado
2026-02-23 16:40:08 [INFO]   🚀 [QueueWorker] Worker iniciado
2026-02-23 16:40:08 [INFO]   QueueWorker iniciado (processamento contínuo de filas)
2026-02-23 16:40:08 [INFO]   Rotas de monitoramento configuradas
2026-02-23 16:40:08 [INFO]   🚀 [DriverPoolMonitor] Monitor iniciado
2026-02-23 16:40:08 [INFO]   DriverPoolMonitor iniciado (monitoramento contínuo de motoristas livres)
2026-02-23 16:40:08 [INFO]   Serviço de Notificação de Demanda inicializado
2026-02-23 16:40:08 [INFO]   Dashboard WebSocket Service inicializado
2026-02-23 16:40:08 [INFO]   Job de limpeza periódica iniciado (a cada 1 minuto)
2026-02-23 16:40:08 [INFO]   Configurando EventBus e Listeners
2026-02-23 16:40:08 [INFO]   ✅ [setupListeners] Todos os listeners configurados
2026-02-23 16:40:08 [INFO]   EventBus e Listeners configurados
